job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000000,32,0.0032,0.00017725473037078851,0,3102,6,1531
J_000001,37,0.0037,0.00020603197210486594,0,1505,7,1505
J_000002,32,0.0032,0.00018425234208736195,0,3102,1,1571
J_000003,31,0.0031,0.000195422010891876,0,1628,0,1628
J_000004,32,0.0032,0.000201927720454609,0,1565,2,1565
J_000005,32,0.0032,0.0001868336157320462,0,1559,4,1559
J_000006,31,0.0031,0.0001727761756217008,0,1505,7,1505
J_000007,31,0.0031,0.0001796670258930807,0,1562,3,1562
J_000008,32,0.0032,0.0001966092670174097,0,1550,5,1550
J_000009,31,0.0031,0.0001908481612871058,0,3102,6,1531
J_000010,30,0.003,0.00017379500858545795,0,3102,6,1531
J_000011,33,0.0033,0.0001836275157306141,0,3102,1,1571
J_000012,31,0.0031,0.00017804125352151778,0,1562,3,1562
J_000013,31,0.0031,0.0001896402190871191,0,1562,3,1562
J_000014,32,0.0032,0.00017624899831760642,0,3102,6,1531
J_000015,34,0.0034,0.00018870984710255405,0,1505,7,1505
J_000016,32,0.0032,0.00017806570391485757,0,3102,1,1571
J_000017,31,0.0031,0.0001647811334220297,0,1505,7,1505
J_000018,34,0.0034,0.00018715189116747874,0,1505,7,1505
J_000019,30,0.003,0.0001753667521282648,0,3102,6,1531
J_000020,32,0.0032,0.00017928007310561602,0,1559,4,1559
J_000021,31,0.0031,0.00017943604756192024,0,3102,6,1531
J_000022,35,0.0035,0.0001940312163026719,0,3102,1,1571
J_000023,31,0.0031,0.00017912647271391144,0,3102,6,1531
J_000024,32,0.0032,0.00019417004093268952,0,1550,5,1550
J_000025,32,0.0032,0.00019478664254827122,0,1628,0,1628
J_000026,31,0.0031,0.00018283017857999813,0,1562,3,1562
J_000027,30,0.003,0.000179982152208998,0,1559,4,1559
J_000028,31,0.0031,0.00018625454111599864,0,1628,0,1628
J_000029,30,0.003,0.00019019404775423479,0,1562,3,1562
J_000030,31,0.0031,0.00018690393892890802,0,1628,0,1628
J_000031,30,0.003,0.00018388850279853967,0,1562,3,1562
