job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000000,30,0.003,0.00017872291476715745,0,3102,6,1531
J_000001,30,0.003,0.00018435280992214656,0,1505,7,1505
J_000002,30,0.003,0.00018380795472282087,0,3102,1,1571
J_000003,30,0.003,0.00020035652868529848,0,1628,0,1628
J_000004,30,0.003,0.0002023980396797485,0,1565,2,1565
J_000005,30,0.003,0.00018674247275361292,0,1559,4,1559
J_000006,30,0.003,0.00017789768706077236,0,1505,7,1505
J_000007,30,0.003,0.00018626321058053986,0,1562,3,1562
J_000008,30,0.003,0.0001968275489358585,0,1550,5,1550
J_000009,30,0.003,0.00019631905762534536,0,3102,6,1531
J_000010,30,0.003,0.0001839733638854065,0,3102,6,1531
J_000011,30,0.003,0.00018115233601147905,0,3102,1,1571
J_000012,30,0.003,0.00018406071912015153,0,1562,3,1562
J_000013,30,0.003,0.0001949281347112141,0,1562,3,1562
J_000014,30,0.003,0.00017782477187085283,0,3102,6,1531
J_000015,30,0.003,0.0001798783520632646,0,1505,7,1505
J_000016,30,0.003,0.0001784396026618683,0,3102,1,1571
J_000017,30,0.003,0.00017080769986072195,0,1505,7,1505
J_000018,30,0.003,0.00018076271434215653,0,1505,7,1505
J_000019,30,0.003,0.00018724793496964037,0,3102,6,1531
J_000020,30,0.003,0.00018039211920004643,0,1559,4,1559
J_000021,30,0.003,0.00018476729375754088,0,3102,6,1531
J_000022,30,0.003,0.00018092644620315245,0,3102,1,1571
J_000023,30,0.003,0.00018496304801084875,0,3102,6,1531
J_000024,30,0.003,0.00019449360276191415,0,1550,5,1550
J_000025,30,0.003,0.0001946460003017631,0,1628,0,1628
J_000026,30,0.003,0.00018856280011217264,0,1562,3,1562
J_000027,30,0.003,0.0001902797205165327,0,1559,4,1559
J_000028,30,0.003,0.00019167485349121625,0,1628,0,1628
J_000029,30,0.003,0.0001997268671026724,0,1562,3,1562
J_000030,30,0.003,0.0001915834747248083,0,1628,0,1628
J_000031,30,0.003,0.00019529166104527055,0,1562,3,1562
J_000032,30,0.003,0.00018848366676633039,0,1559,4,1559
J_000033,30,0.003,0.00019109668112784223,0,1628,0,1628
J_000034,30,0.003,0.00018772902284265721,0,1628,0,1628
J_000035,30,0.003,0.0002029459710294536,0,1565,2,1565
J_000036,30,0.003,0.00018949238591883775,0,1628,0,1628
J_000037,30,0.003,0.0001858045680051202,0,3102,6,1531
J_000038,30,0.003,0.00019097667054167347,0,1559,4,1559
J_000039,30,0.003,0.00019659306102969034,0,1559,4,1559
J_000040,30,0.003,0.00019334339912583824,0,1562,3,1562
J_000041,30,0.003,0.00020878653234035957,0,1565,2,1565
J_000042,30,0.003,0.00018215073014799546,0,1505,7,1505
J_000043,30,0.003,0.0001919827516761831,0,1559,4,1559
J_000044,30,0.003,0.00018409871199105742,0,1562,3,1562
J_000045,30,0.003,0.00019216819366607655,0,1562,3,1562
J_000046,30,0.003,0.00019929752264086304,0,1562,3,1562
J_000047,30,0.003,0.00018636384667549926,0,1562,3,1562
J_000048,30,0.003,0.00017685903332127995,0,3102,1,1571
J_000049,30,0.003,0.0001934592504982866,0,1550,5,1550
J_000050,30,0.003,0.00018859044656708462,0,1559,4,1559
J_000051,30,0.003,0.00019716607199108858,0,1565,2,1565
J_000052,30,0.003,0.00018972801223759203,0,3102,1,1571
J_000053,30,0.003,0.0001857663672241,0,1505,7,1505
J_000054,30,0.003,0.0001872537721779044,0,1562,3,1562
J_000055,30,0.003,0.0001860529924767072,0,1559,4,1559
J_000056,30,0.003,0.00018784427460154647,0,3102,6,1531
J_000057,30,0.003,0.00019004791789505824,0,1559,4,1559
J_000058,30,0.003,0.00017902375386041037,0,3102,1,1571
J_000059,30,0.003,0.00018073018076011056,0,3102,6,1531
J_000060,30,0.003,0.0001961780447912349,0,1562,3,1562
