job_id,seniority,industry
J_000000,Senior,Retail
J_000001,Senior,EdTech
J_000002,Junior,Travel
J_000003,Junior,Cybersecurity
J_000004,Senior,SaaS
J_000005,Senior,Healthcare
J_000006,Mid,E-commerce
J_000007,Senior,FinTech
J_000008,Senior,Logistics
J_000009,Mid,Cybersecurity
J_000010,Senior,Healthcare
J_000011,Junior,Healthcare
J_000012,Mid,E-commerce
J_000013,Senior,Gaming
J_000014,Junior,Travel
J_000015,Senior,Retail
J_000016,Mid,EdTech
J_000017,Junior,Cybersecurity
J_000018,Junior,E-commerce
J_000019,Mid,Logistics
J_000020,Senior,Retail
J_000021,Senior,Healthcare
J_000022,Mid,SaaS
J_000023,Senior,Gaming
J_000024,Senior,Healthcare
J_000025,Senior,Logistics
J_000026,Mid,SaaS
J_000027,Senior,Healthcare
J_000028,Senior,FinTech
J_000029,Junior,Healthcare
J_000030,Senior,E-commerce
J_000031,Mid,Gaming
J_000032,Senior,Gaming
J_000033,Mid,Travel
J_000034,Junior,FinTech
J_000035,Junior,Logistics
J_000036,Junior,Logistics
J_000037,Junior,EdTech
J_000038,Senior,Cybersecurity
J_000039,Senior,Gaming
J_000040,Junior,Cybersecurity
J_000041,Junior,FinTech
J_000042,Mid,Logistics
J_000043,Senior,E-commerce
J_000044,Senior,Cybersecurity
J_000045,Senior,SaaS
J_000046,Senior,Retail
J_000047,Mid,SaaS
J_000048,Mid,Retail
J_000049,Junior,Retail
J_000050,Mid,E-commerce
J_000051,Mid,Logistics
J_000052,Mid,Healthcare
J_000053,Senior,Healthcare
J_000054,Junior,Cybersecurity
J_000055,Mid,Healthcare
J_000056,Senior,Travel
J_000057,Junior,Logistics
J_000058,Mid,Travel
J_000059,Senior,Healthcare
J_000060,Mid,Retail
J_000061,Junior,SaaS
J_000062,Mid,Logistics
J_000063,Senior,Cybersecurity
J_000064,Senior,Retail
J_000065,Mid,FinTech
J_000066,Mid,Healthcare
J_000067,Mid,Retail
J_000068,Senior,Logistics
J_000069,Mid,Healthcare
J_000070,Mid,Travel
J_000071,Senior,Logistics
J_000072,Junior,Gaming
J_000073,Mid,E-commerce
J_000074,Senior,FinTech
J_000075,Senior,Retail
J_000076,Junior,Logistics
J_000077,Senior,SaaS
J_000078,Senior,SaaS
J_000079,Senior,Cybersecurity
J_000080,Junior,Retail
J_000081,Senior,FinTech
J_000082,Junior,Gaming
J_000083,Mid,EdTech
J_000084,Senior,FinTech
J_000085,Mid,Travel
J_000086,Junior,Retail
J_000087,Senior,Cybersecurity
J_000088,Senior,EdTech
J_000089,Junior,EdTech
J_000090,Mid,Healthcare
J_000091,Junior,EdTech
J_000092,Junior,EdTech
J_000093,Junior,E-commerce
J_000094,Mid,EdTech
J_000095,Junior,Retail
J_000096,Senior,EdTech
J_000097,Senior,EdTech
J_000098,Senior,Travel
J_000099,Mid,Healthcare
J_000100,Mid,E-commerce
J_000101,Junior,Healthcare
J_000102,Junior,FinTech
J_000103,Junior,EdTech
J_000104,Mid,EdTech
J_000105,Mid,Logistics
J_000106,Senior,E-commerce
J_000107,Junior,SaaS
J_000108,Junior,Logistics
J_000109,Senior,E-commerce
J_000110,Mid,Travel
J_000111,Senior,Travel
J_000112,Mid,SaaS
J_000113,Mid,Retail
J_000114,Senior,Healthcare
J_000115,Senior,Gaming
J_000116,Junior,E-commerce
J_000117,Junior,SaaS
J_000118,Senior,Travel
