resume_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size,n_skills,n_skill_communities,dominant_skill_community,dominant_skill_community_count,dominant_skill_community_share,skill_community_entropy,skill_community_entropy_normalized
R_000000,6,0.0024,4.281005835029092e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000001,9,0.0036,5.9278646495954844e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000002,9,0.0036,5.7770746208354104e-05,0,1628,0,1628,6,1,3,6,1.0,-0.0,0.0
R_000003,6,0.0024,4.199329851408786e-05,0,1562,3,1562,6,2,6,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000004,5,0.002,3.715684059758992e-05,0,1562,3,1562,5,1,6,5,1.0,-0.0,0.0
R_000005,8,0.0032,5.036474030225191e-05,0,3102,1,1571,7,4,7,3,0.4285714285714285,1.277034259466139,0.9211854965885544
R_000006,41,0.0164,0.0002152432180491532,0,1559,4,1559,7,1,1,7,1.0,-0.0,0.0
R_000007,4,0.0016,3.100262978058833e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000008,10,0.004,5.875691552535382e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000009,9,0.0036,5.815728247464426e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000010,8,0.0032,5.217099665111427e-05,0,1559,4,1559,7,1,1,7,1.0,-0.0,0.0
R_000011,8,0.0032,5.400220455656336e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000012,14,0.0056,8.408132739576893e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000013,11,0.0044,7.224229583063152e-05,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000014,8,0.0032,5.591526928742752e-05,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000015,3,0.0012,2.624694917001099e-05,0,3102,1,1571,5,3,7,3,0.6,0.9502705392332348,0.8649735207179272
R_000016,29,0.0116,0.00015821956057507716,0,1559,4,1559,8,1,1,8,1.0,-0.0,0.0
R_000017,11,0.0044,6.424966940588089e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000018,2,0.0008,2.299872350415396e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000019,12,0.0048,7.388878803002705e-05,0,1562,3,1562,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000020,9,0.0036,5.983847024410592e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000021,6,0.0024,4.355759987372766e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000022,10,0.004,6.35053187140375e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000023,7,0.0028,4.5565402550004705e-05,0,3102,6,1531,6,1,2,6,1.0,-0.0,0.0
R_000024,8,0.0032,5.471938502039579e-05,0,1565,2,1565,5,1,5,5,1.0,-0.0,0.0
R_000025,7,0.0028,4.710504230299763e-05,0,1562,3,1562,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000026,16,0.0064,9.452836323388785e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000027,11,0.0044,6.869944778465197e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000028,4,0.0016,3.22707349644113e-05,0,1559,4,1559,6,1,1,6,1.0,-0.0,0.0
R_000029,12,0.0048,6.803877094151375e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000030,7,0.0028,4.591115087126496e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000031,8,0.0032,5.0253640934711075e-05,0,3102,1,1571,8,3,7,5,0.625,0.9002560512685369,0.8194483718728035
R_000032,6,0.0024,4.041903381926158e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000033,6,0.0024,4.4885821693779934e-05,0,1565,2,1565,7,1,5,7,1.0,-0.0,0.0
R_000034,4,0.0016,3.150875276644232e-05,0,3102,1,1571,6,4,2,2,0.3333333333333333,1.3296613488547582,0.9591479170272448
R_000035,14,0.0056,8.370615728455791e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000036,9,0.0036,5.461627471667796e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000037,13,0.0052,8.086012358103104e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000038,10,0.004,6.270466574240218e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000039,9,0.0036,5.455057065392641e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000040,7,0.0028,4.833666941500174e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000041,3,0.0012,2.720887657076875e-05,0,1562,3,1562,6,2,6,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000042,7,0.0028,4.807934985406327e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000043,3,0.0012,2.8057519448054394e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000044,7,0.0028,4.532271105338154e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000045,7,0.0028,4.729547204908633e-05,0,1562,3,1562,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000046,6,0.0024,4.484001809655072e-05,0,1565,2,1565,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000047,10,0.004,6.293201341306252e-05,0,1562,3,1562,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000048,5,0.002,4.028051004929491e-05,0,1565,2,1565,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000049,15,0.006,8.708343127710808e-05,0,1562,3,1562,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000050,3,0.0012,2.652528102128965e-05,0,3102,1,1571,5,4,2,2,0.4,1.3321790402101223,0.9609640474436812
R_000051,3,0.0012,2.7810337567257634e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000052,13,0.0052,7.834608632872185e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000053,8,0.0032,5.067411098241985e-05,0,3102,1,1571,7,3,7,4,0.5714285714285714,0.9556998911125344,0.8699155297736259
R_000054,7,0.0028,4.573693387501525e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000055,14,0.0056,8.420382910628477e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000056,12,0.0048,7.842491731009977e-05,0,1565,2,1565,6,2,5,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000057,4,0.0016,3.227903592712534e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000058,3,0.0012,2.6662303659976307e-05,0,3102,6,1531,5,1,2,5,1.0,-0.0,0.0
R_000059,5,0.002,3.698872260204793e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000060,7,0.0028,4.910747025723317e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000061,11,0.0044,7.052593728285325e-05,0,1550,5,1550,7,1,0,7,1.0,-0.0,0.0
R_000062,12,0.0048,6.891604865689919e-05,0,3102,6,1531,8,1,2,8,1.0,-0.0,0.0
R_000063,2,0.0008,2.2567294332198082e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000064,3,0.0012,2.792168958797998e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000065,3,0.0012,2.744444903746072e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
