resume_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size,n_skills,n_skill_communities,dominant_skill_community,dominant_skill_community_count,dominant_skill_community_share,skill_community_entropy,skill_community_entropy_normalized
R_000000,6,0.0024,4.490471786818803e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000001,9,0.0036,6.258890372727432e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000002,9,0.0036,6.089425726091813e-05,0,1628,0,1628,6,1,3,6,1.0,-0.0,0.0
R_000003,6,0.0024,4.428091751162288e-05,0,1562,3,1562,6,2,6,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000004,5,0.002,3.884068941639369e-05,0,1562,3,1562,5,1,6,5,1.0,-0.0,0.0
R_000005,8,0.0032,5.3063561012183185e-05,0,3102,1,1571,7,4,7,3,0.4285714285714285,1.277034259466139,0.9211854965885544
R_000006,19,0.0076,0.00011289533176849963,0,1559,4,1559,7,1,1,7,1.0,-0.0,0.0
R_000007,4,0.0016,3.2304541534487406e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000008,10,0.004,6.228632086576368e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000009,9,0.0036,6.122063234077076e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000010,8,0.0032,5.4944035849886334e-05,0,1559,4,1559,7,1,1,7,1.0,-0.0,0.0
R_000011,8,0.0032,5.6896784759952034e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000012,13,0.0052,8.357535023883712e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000013,11,0.0044,7.621485047640794e-05,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000014,8,0.0032,5.8824571214999676e-05,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000015,3,0.0012,2.7435730669634752e-05,0,3102,1,1571,5,3,7,3,0.6,0.9502705392332348,0.8649735207179272
R_000016,19,0.0076,0.00011369149898024919,0,1559,4,1559,8,1,1,8,1.0,-0.0,0.0
R_000017,11,0.0044,6.831069133745088e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000018,2,0.0008,2.3834437796433677e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000019,11,0.0044,7.249922975244356e-05,0,1562,3,1562,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000020,9,0.0036,6.334325654070069e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000021,6,0.0024,4.5814648059237884e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000022,10,0.004,6.679661857503523e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000023,7,0.0028,4.824006497535972e-05,0,3102,6,1531,6,1,2,6,1.0,-0.0,0.0
R_000024,8,0.0032,5.769204766020325e-05,0,1565,2,1565,5,1,5,5,1.0,-0.0,0.0
R_000025,7,0.0028,4.966351356894978e-05,0,1562,3,1562,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000026,13,0.0052,8.35775541153701e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000027,11,0.0044,7.240805393756141e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000028,4,0.0016,3.358442227352372e-05,0,1559,4,1559,6,1,1,6,1.0,-0.0,0.0
R_000029,11,0.0044,6.71649913374578e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000030,7,0.0028,4.8518247564762864e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000031,8,0.0032,5.293494807968898e-05,0,3102,1,1571,8,3,7,5,0.625,0.9002560512685369,0.8194483718728035
R_000032,6,0.0024,4.251353886953253e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000033,6,0.0024,4.694597681828433e-05,0,1565,2,1565,7,1,5,7,1.0,-0.0,0.0
R_000034,4,0.0016,3.2824569943631315e-05,0,3102,1,1571,6,4,2,2,0.3333333333333333,1.3296613488547582,0.9591479170272448
R_000035,12,0.0048,7.784651772375358e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000036,9,0.0036,5.7572121020867424e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000037,13,0.0052,8.592014225959481e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000038,10,0.004,6.629461876747225e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000039,9,0.0036,5.768018563772699e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000040,7,0.0028,5.096500457517998e-05,0,1550,5,1550,8,1,0,8,1.0,-0.0,0.0
R_000041,3,0.0012,2.8252984787239216e-05,0,1562,3,1562,6,2,6,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000042,7,0.0028,5.019787487027804e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000043,3,0.0012,2.9187516046837183e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000044,7,0.0028,4.785592052140743e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000045,7,0.0028,4.97623253809571e-05,0,1562,3,1562,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000046,6,0.0024,4.7025581837378575e-05,0,1565,2,1565,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000047,10,0.004,6.650007802747333e-05,0,1562,3,1562,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000048,5,0.002,4.2060208300331926e-05,0,1565,2,1565,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000049,13,0.0052,8.234054714542852e-05,0,1562,3,1562,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000050,3,0.0012,2.7601498337290997e-05,0,3102,1,1571,5,4,2,2,0.4,1.3321790402101223,0.9609640474436812
R_000051,3,0.0012,2.8994482030712126e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000052,12,0.0048,7.755087376805102e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000053,8,0.0032,5.354635012977966e-05,0,3102,1,1571,7,3,7,4,0.5714285714285714,0.9556998911125344,0.8699155297736259
R_000054,7,0.0028,4.817007898352422e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000055,12,0.0048,7.792119584725103e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000056,11,0.0044,7.684160452893008e-05,0,1565,2,1565,6,2,5,5,0.8333333333333334,0.4505612088663046,0.6500224216483541
R_000057,4,0.0016,3.3626381317948814e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000058,3,0.0012,2.7791344978734827e-05,0,3102,6,1531,5,1,2,5,1.0,-0.0,0.0
R_000059,5,0.002,3.862497827183654e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000060,7,0.0028,5.198883446372352e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000061,10,0.004,6.872606071038796e-05,0,1550,5,1550,7,1,0,7,1.0,-0.0,0.0
R_000062,12,0.0048,7.366395659481656e-05,0,3102,6,1531,8,1,2,8,1.0,-0.0,0.0
R_000063,2,0.0008,2.336972220046907e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000064,3,0.0012,2.8849203108854836e-05,0,1628,0,1628,7,1,3,7,1.0,-0.0,0.0
R_000065,3,0.0012,2.8406341501469564e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000066,1,0.0004,1.7972914162618793e-05,0,1550,5,1550,5,1,0,5,1.0,-0.0,0.0
R_000067,4,0.0016,3.545537773059043e-05,0,1565,2,1565,5,1,5,5,1.0,-0.0,0.0
R_000068,10,0.004,6.391921536141731e-05,0,3102,6,1531,8,1,2,8,1.0,-0.0,0.0
R_000069,3,0.0012,2.8317673842442484e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000070,9,0.0036,6.166061934900984e-05,0,1628,0,1628,8,1,3,8,1.0,-0.0,0.0
R_000071,7,0.0028,5.159759406256227e-05,0,1550,5,1550,7,1,0,7,1.0,-0.0,0.0
R_000072,15,0.006,0.00010073133844128672,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000073,10,0.004,6.220760405376088e-05,0,1505,7,1505,8,1,4,8,1.0,-0.0,0.0
R_000074,5,0.002,3.873002967768372e-05,0,1559,4,1559,5,1,1,5,1.0,-0.0,0.0
R_000075,11,0.0044,6.847377926135243e-05,0,3102,6,1531,7,1,2,7,1.0,-0.0,0.0
R_000076,4,0.0016,3.3222450052105875e-05,0,3102,6,1531,6,1,2,6,1.0,-0.0,0.0
R_000077,12,0.0048,7.3422958608925e-05,0,3102,1,1571,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000078,4,0.0016,3.4773500297220515e-05,0,1550,5,1550,6,1,0,6,1.0,-0.0,0.0
R_000079,13,0.0052,7.930296586187104e-05,0,3102,1,1571,7,4,7,4,0.5714285714285714,1.1537419427010902,0.8322488896002307
R_000080,6,0.0024,4.253339893986209e-05,0,3102,1,1571,7,3,7,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000081,11,0.0044,6.969605305624447e-05,0,3102,6,1531,6,1,2,6,1.0,-0.0,0.0
R_000082,6,0.0024,4.2560585939442405e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000083,5,0.002,3.7670994303996394e-05,0,3102,6,1531,5,1,2,5,1.0,-0.0,0.0
R_000084,14,0.0056,8.235573649219406e-05,0,1505,7,1505,7,1,4,7,1.0,-0.0,0.0
R_000085,5,0.002,4.144856916975403e-05,0,1565,2,1565,8,2,5,7,0.875,0.3767701612564367,0.5435644431995964
R_000086,5,0.002,3.789383756786363e-05,0,1505,7,1505,6,1,4,6,1.0,-0.0,0.0
R_000087,9,0.0036,6.55280861380958e-05,0,1565,2,1565,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000088,8,0.0032,5.2738602678031825e-05,0,1505,7,1505,5,1,4,5,1.0,-0.0,0.0
R_000089,6,0.0024,4.4407669259111065e-05,0,1559,4,1559,6,1,1,6,1.0,-0.0,0.0
