resume_id,seniority
R_000000,Senior
R_000001,Junior
R_000002,Mid
R_000003,Junior
R_000004,Junior
R_000005,Mid
R_000006,Junior
R_000007,Junior
R_000008,Junior
R_000009,Mid
R_000010,Senior
R_000011,Junior
R_000012,Mid
R_000013,Senior
R_000014,Senior
R_000015,Senior
R_000016,Senior
R_000017,Mid
R_000018,Junior
R_000019,Senior
R_000020,Junior
R_000021,Junior
R_000022,Junior
R_000023,Senior
R_000024,Senior
R_000025,Senior
R_000026,Mid
R_000027,Senior
R_000028,Senior
R_000029,Senior
R_000030,Junior
R_000031,Junior
R_000032,Senior
R_000033,Mid
R_000034,Junior
R_000035,Junior
R_000036,Mid
R_000037,Mid
R_000038,Senior
R_000039,Junior
R_000040,Junior
R_000041,Mid
R_000042,Mid
R_000043,Senior
R_000044,Junior
R_000045,Mid
R_000046,Senior
R_000047,Junior
R_000048,Junior
R_000049,Senior
R_000050,Junior
R_000051,Senior
R_000052,Junior
R_000053,Mid
R_000054,Mid
R_000055,Mid
R_000056,Junior
R_000057,Senior
R_000058,Senior
R_000059,Junior
R_000060,Senior
R_000061,Mid
R_000062,Senior
R_000063,Senior
R_000064,Senior
R_000065,Junior
R_000066,Senior
R_000067,Mid
R_000068,Junior
R_000069,Mid
R_000070,Junior
R_000071,Junior
R_000072,Mid
R_000073,Mid
R_000074,Mid
R_000075,Mid
R_000076,Mid
R_000077,Mid
R_000078,Mid
R_000079,Mid
R_000080,Senior
R_000081,Junior
R_000082,Mid
R_000083,Senior
R_000084,Senior
R_000085,Mid
R_000086,Mid
R_000087,Senior
R_000088,Mid
R_000089,Junior
R_000090,Senior
R_000091,Mid
R_000092,Junior
R_000093,Junior
R_000094,Mid
R_000095,Junior
R_000096,Senior
R_000097,Senior
R_000098,Senior
R_000099,Mid
R_000100,Mid
R_000101,Junior
R_000102,Senior
R_000103,Senior
R_000104,Junior
R_000105,Senior
R_000106,Junior
R_000107,Junior
R_000108,Junior
R_000109,Senior
R_000110,Senior
R_000111,Mid
R_000112,Senior
R_000113,Mid
R_000114,Senior
R_000115,Mid
R_000116,Junior
R_000117,Senior
R_000118,Senior
R_000119,Junior
R_000120,Senior
R_000121,Mid
R_000122,Mid
R_000123,Senior
R_000124,Mid
R_000125,Senior
R_000126,Mid
R_000127,Junior
R_000128,Mid
R_000129,Mid
R_000130,Junior
R_000131,Junior
R_000132,Junior
R_000133,Junior
R_000134,Junior
R_000135,Mid
R_000136,Junior
R_000137,Mid
R_000138,Mid
R_000139,Junior
R_000140,Senior
R_000141,Mid
R_000142,Mid
R_000143,Mid
R_000144,Mid
R_000145,Mid
R_000146,Mid
R_000147,Senior
R_000148,Senior
R_000149,Mid
R_000150,Senior
R_000151,Junior
R_000152,Senior
R_000153,Junior
R_000154,Senior
R_000155,Senior
R_000156,Senior
R_000157,Junior
R_000158,Senior
R_000159,Mid
R_000160,Senior
R_000161,Senior
R_000162,Senior
R_000163,Senior
R_000164,Mid
R_000165,Senior
R_000166,Mid
R_000167,Junior
R_000168,Junior
R_000169,Mid
R_000170,Senior
R_000171,Junior
R_000172,Mid
R_000173,Senior
R_000174,Senior
R_000175,Senior
R_000176,Mid
R_000177,Junior
R_000178,Mid
R_000179,Mid
R_000180,Senior
R_000181,Mid
R_000182,Mid
R_000183,Senior
R_000184,Mid
R_000185,Junior
R_000186,Junior
R_000187,Senior
R_000188,Junior
R_000189,Junior
R_000190,Senior
R_000191,Senior
R_000192,Senior
R_000193,Senior
R_000194,Senior
R_000195,Senior
R_000196,Senior
R_000197,Junior
R_000198,Junior
R_000199,Mid
R_000200,Senior
R_000201,Mid
R_000202,Senior
R_000203,Senior
R_000204,Mid
R_000205,Junior
R_000206,Mid
R_000207,Junior
R_000208,Junior
R_000209,Junior
R_000210,Junior
R_000211,Senior
R_000212,Junior
R_000213,Mid
R_000214,Mid
R_000215,Mid
R_000216,Mid
R_000217,Mid
R_000218,Mid
R_000219,Junior
R_000220,Junior
R_000221,Junior
R_000222,Senior
R_000223,Senior
R_000224,Senior
R_000225,Senior
R_000226,Senior
R_000227,Junior
R_000228,Senior
R_000229,Mid
R_000230,Mid
R_000231,Junior
R_000232,Senior
R_000233,Mid
R_000234,Senior
R_000235,Mid
R_000236,Senior
R_000237,Mid
R_000238,Junior
R_000239,Senior
R_000240,Junior
R_000241,Junior
R_000242,Senior
R_000243,Mid
R_000244,Mid
R_000245,Junior
R_000246,Mid
R_000247,Mid
R_000248,Senior
R_000249,Senior
R_000250,Senior
R_000251,Junior
R_000252,Mid
R_000253,Senior
R_000254,Junior
R_000255,Senior
R_000256,Junior
R_000257,Junior
R_000258,Mid
R_000259,Mid
R_000260,Senior
R_000261,Senior
R_000262,Junior
R_000263,Senior
R_000264,Mid
R_000265,Senior
R_000266,Senior
R_000267,Mid
R_000268,Senior
R_000269,Mid
R_000270,Senior
R_000271,Junior
R_000272,Junior
R_000273,Senior
R_000274,Senior
R_000275,Mid
R_000276,Junior
R_000277,Junior
R_000278,Junior
R_000279,Senior
R_000280,Junior
R_000281,Mid
R_000282,Mid
R_000283,Senior
R_000284,Mid
R_000285,Junior
R_000286,Junior
R_000287,Junior
R_000288,Mid
R_000289,Senior
R_000290,Junior
R_000291,Mid
R_000292,Junior
R_000293,Mid
R_000294,Mid
R_000295,Mid
R_000296,Senior
R_000297,Senior
R_000298,Senior
R_000299,Junior
R_000300,Mid
R_000301,Junior
R_000302,Mid
R_000303,Junior
R_000304,Senior
R_000305,Junior
R_000306,Mid
R_000307,Junior
R_000308,Mid
R_000309,Mid
R_000310,Mid
R_000311,Junior
R_000312,Senior
R_000313,Junior
R_000314,Senior
R_000315,Senior
R_000316,Senior
R_000317,Mid
R_000318,Junior
R_000319,Senior
R_000320,Junior
R_000321,Junior
R_000322,Mid
R_000323,Junior
R_000324,Junior
R_000325,Junior
R_000326,Senior
R_000327,Mid
R_000328,Senior
R_000329,Junior
R_000330,Mid
R_000331,Junior
R_000332,Mid
R_000333,Junior
R_000334,Junior
R_000335,Senior
R_000336,Mid
R_000337,Senior
R_000338,Mid
R_000339,Senior
R_000340,Senior
R_000341,Mid
R_000342,Senior
R_000343,Senior
R_000344,Mid
R_000345,Mid
R_000346,Junior
R_000347,Senior
R_000348,Junior
R_000349,Senior
R_000350,Junior
R_000351,Junior
R_000352,Mid
R_000353,Senior
R_000354,Junior
R_000355,Mid
R_000356,Mid
R_000357,Mid
R_000358,Senior
R_000359,Senior
R_000360,Junior
R_000361,Senior
R_000362,Junior
R_000363,Senior
R_000364,Mid
R_000365,Mid
R_000366,Junior
R_000367,Junior
R_000368,Senior
R_000369,Junior
R_000370,Junior
R_000371,Senior
R_000372,Senior
R_000373,Mid
R_000374,Mid
R_000375,Junior
R_000376,Junior
R_000377,Mid
R_000378,Senior
R_000379,Mid
R_000380,Senior
R_000381,Junior
R_000382,Junior
R_000383,Senior
R_000384,Junior
R_000385,Senior
R_000386,Junior
R_000387,Senior
R_000388,Senior
R_000389,Senior
R_000390,Junior
R_000391,Mid
R_000392,Senior
R_000393,Mid
R_000394,Junior
R_000395,Mid
R_000396,Mid
R_000397,Senior
R_000398,Senior
R_000399,Mid
R_000400,Mid
R_000401,Senior
R_000402,Senior
R_000403,Mid
R_000404,Mid
R_000405,Mid
R_000406,Junior
R_000407,Mid
R_000408,Junior
R_000409,Senior
R_000410,Junior
R_000411,Junior
R_000412,Senior
R_000413,Junior
R_000414,Junior
R_000415,Junior
R_000416,Junior
R_000417,Mid
R_000418,Senior
R_000419,Junior
R_000420,Junior
R_000421,Senior
R_000422,Junior
R_000423,Mid
R_000424,Junior
R_000425,Mid
R_000426,Mid
R_000427,Mid
R_000428,Junior
R_000429,Senior
R_000430,Mid
R_000431,Junior
R_000432,Junior
R_000433,Junior
R_000434,Junior
R_000435,Junior
R_000436,Senior
R_000437,Mid
R_000438,Mid
R_000439,Senior
R_000440,Senior
R_000441,Mid
R_000442,Senior
R_000443,Senior
R_000444,Junior
R_000445,Junior
R_000446,Senior
R_000447,Mid
R_000448,Junior
R_000449,Mid
R_000450,Junior
R_000451,Junior
R_000452,Mid
R_000453,Mid
R_000454,Mid
R_000455,Junior
R_000456,Junior
R_000457,Junior
R_000458,Senior
R_000459,Senior
R_000460,Junior
R_000461,Mid
R_000462,Junior
R_000463,Junior
R_000464,Mid
R_000465,Junior
R_000466,Senior
R_000467,Senior
R_000468,Mid
R_000469,Junior
R_000470,Senior
R_000471,Senior
R_000472,Mid
R_000473,Mid
R_000474,Senior
R_000475,Mid
R_000476,Junior
R_000477,Mid
R_000478,Junior
R_000479,Junior
R_000480,Senior
R_000481,Mid
R_000482,Junior
R_000483,Mid
R_000484,Junior
R_000485,Senior
R_000486,Mid
R_000487,Junior
R_000488,Senior
R_000489,Mid
R_000490,Senior
R_000491,Junior
R_000492,Senior
R_000493,Junior
R_000494,Mid
R_000495,Junior
R_000496,Mid
R_000497,Senior
R_000498,Senior
R_000499,Junior
R_000500,Mid
R_000501,Mid
R_000502,Senior
R_000503,Mid
R_000504,Junior
R_000505,Senior
R_000506,Mid
R_000507,Senior
R_000508,Senior
R_000509,Junior
R_000510,Mid
R_000511,Junior
R_000512,Mid
R_000513,Senior
R_000514,Senior
R_000515,Mid
R_000516,Junior
R_000517,Senior
R_000518,Senior
R_000519,Junior
R_000520,Junior
R_000521,Junior
R_000522,Mid
R_000523,Senior
R_000524,Senior
R_000525,Senior
R_000526,Senior
R_000527,Junior
R_000528,Junior
R_000529,Senior
R_000530,Mid
R_000531,Junior
R_000532,Mid
R_000533,Senior
R_000534,Mid
R_000535,Mid
R_000536,Junior
R_000537,Junior
R_000538,Senior
R_000539,Junior
R_000540,Junior
R_000541,Senior
R_000542,Senior
R_000543,Junior
R_000544,Junior
R_000545,Junior
R_000546,Mid
R_000547,Mid
R_000548,Mid
R_000549,Mid
R_000550,Junior
R_000551,Senior
R_000552,Senior
R_000553,Mid
R_000554,Junior
R_000555,Junior
R_000556,Mid
R_000557,Junior
R_000558,Mid
R_000559,Mid
R_000560,Junior
R_000561,Junior
R_000562,Senior
R_000563,Senior
R_000564,Junior
R_000565,Mid
R_000566,Junior
R_000567,Junior
R_000568,Mid
R_000569,Mid
R_000570,Mid
R_000571,Mid
R_000572,Mid
R_000573,Senior
R_000574,Senior
R_000575,Mid
R_000576,Mid
