task,method,feature_family,graph_version,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_macro,recall_macro
CV seniority,Dummy,STRUCTURAL,original,validation,0.3373333333333333,0.3333333333333333,0.1681621801262878,0.17018012628780327,0.11244444444444444,0.3333333333333333
CV seniority,Logistic Regression,STRUCTURAL,original,validation,0.33266666666666667,0.33314275412603944,0.33167458909338177,0.3315577161001473,0.3348395974794649,0.33314275412603944
CV seniority,Random Forest,STRUCTURAL,original,validation,0.334,0.3339674538272712,0.3339981065043867,0.3340910193216002,0.3341311758097208,0.3339674538272712
CV seniority,Random Forest,STRUCTURAL,original,test,0.3473333333333333,0.347309534266056,0.3471907589841778,0.3472249340222234,0.34721244048153466,0.347309534266056
CV seniority,Dummy,STRUCTURAL,enriched,validation,0.3373333333333333,0.3333333333333333,0.1681621801262878,0.17018012628780327,0.11244444444444444,0.3333333333333333
CV seniority,Logistic Regression,STRUCTURAL,enriched,validation,0.32133333333333336,0.32154085507243707,0.31713298972660703,0.3171159201333985,0.3222305234320153,0.32154085507243707
CV seniority,Random Forest,STRUCTURAL,enriched,validation,0.316,0.3162313350566852,0.31603810420512307,0.31586817467136397,0.3159391129385006,0.3162313350566852
CV seniority,Logistic Regression,STRUCTURAL,enriched,test,0.314,0.31408031811758524,0.31168825520469384,0.3117249986449905,0.3144219336658633,0.31408031811758524
CV seniority,Dummy,SEMANTIC,invariant,validation,0.3373333333333333,0.3333333333333333,0.1681621801262878,0.17018012628780327,0.11244444444444444,0.3333333333333333
CV seniority,Logistic Regression,SEMANTIC,invariant,validation,0.868,0.8686430659603704,0.8681133836191236,0.8674523501880724,0.8681121122438807,0.8686430659603704
CV seniority,Random Forest,SEMANTIC,invariant,validation,0.822,0.8224977018907546,0.8208691122671125,0.8203937863197279,0.8205509049295617,0.8224977018907546
CV seniority,Logistic Regression,SEMANTIC,invariant,test,0.8773333333333333,0.8776744821775878,0.8769031897315346,0.8765548003008986,0.8768142360349321,0.8776744821775878
CV seniority,Dummy,INTERNAL_SKILLS,invariant,validation,0.3373333333333333,0.3333333333333333,0.1681621801262878,0.17018012628780327,0.11244444444444444,0.3333333333333333
CV seniority,Logistic Regression,INTERNAL_SKILLS,invariant,validation,0.3433333333333333,0.3429534177744262,0.337399882239354,0.33758979447992576,0.3419577375828336,0.3429534177744262
CV seniority,Random Forest,INTERNAL_SKILLS,invariant,validation,0.32,0.32074746284977923,0.31583596599300434,0.31545677348324086,0.31954789594133853,0.32074746284977923
CV seniority,Logistic Regression,INTERNAL_SKILLS,invariant,test,0.316,0.3155371371209881,0.31224761408450225,0.3125056746461328,0.3154425403844973,0.3155371371209881
CV seniority,Dummy,ALL_SAFE,original,validation,0.3373333333333333,0.3333333333333333,0.1681621801262878,0.17018012628780327,0.11244444444444444,0.3333333333333333
CV seniority,Logistic Regression,ALL_SAFE,original,validation,0.8673333333333333,0.8679692295716634,0.8679681173820883,0.8672624966323981,0.8681574664423687,0.8679692295716634
CV seniority,Random Forest,ALL_SAFE,original,validation,0.82,0.820409517612204,0.8189259487918562,0.81850006054129,0.8188734564223229,0.820409517612204
