task,feature_family,graph_version,feature,importance
CV seniority,STRUCTURAL,original,num__pagerank,0.9365216581241826
CV seniority,STRUCTURAL,original,num__bipartite_degree_centrality,0.024927673684678107
CV seniority,STRUCTURAL,original,num__degree,0.024574818150197474
CV seniority,STRUCTURAL,original,num__community_size,0.003281802052917991
CV seniority,STRUCTURAL,original,num__component_size,0.0029835475894213963
CV seniority,STRUCTURAL,original,cat__community_global_3,0.0011156856954033097
CV seniority,STRUCTURAL,original,cat__community_global_6,0.0010187081864507209
CV seniority,STRUCTURAL,original,cat__community_global_1,0.000979662477418594
CV seniority,STRUCTURAL,original,cat__community_global_2,0.0009622649672902662
CV seniority,STRUCTURAL,original,cat__community_global_0,0.0009205032653132132
CV seniority,STRUCTURAL,original,cat__community_global_4,0.0009173326278453139
CV seniority,STRUCTURAL,original,cat__community_global_7,0.0008992765206384913
CV seniority,STRUCTURAL,original,cat__community_global_5,0.0007724304278418033
CV seniority,STRUCTURAL,original,num__is_isolate,0.00012463623040071288
CV seniority,STRUCTURAL,original,cat__community_global_12,0.0
Job seniority,STRUCTURAL,original,num__pagerank,0.9787927829320976
Job seniority,STRUCTURAL,original,num__component_size,0.004786292377819124
Job seniority,STRUCTURAL,original,num__community_size,0.004475888992374618
Job seniority,STRUCTURAL,original,cat__community_global_5,0.002823810676909369
Job seniority,STRUCTURAL,original,cat__community_global_6,0.0018692905395085227
Job seniority,STRUCTURAL,original,cat__community_global_4,0.001655676614279456
Job seniority,STRUCTURAL,original,cat__community_global_1,0.0015210689229014378
Job seniority,STRUCTURAL,original,cat__community_global_2,0.001299469650833206
Job seniority,STRUCTURAL,original,cat__community_global_3,0.001110843974136015
Job seniority,STRUCTURAL,original,cat__community_global_0,0.001058424422191519
Job seniority,STRUCTURAL,original,cat__community_global_7,0.0006064508969490718
Job seniority,STRUCTURAL,original,num__is_isolate,0.0
Job seniority,STRUCTURAL,original,num__bipartite_degree_centrality,0.0
Job seniority,STRUCTURAL,original,num__degree,0.0
Job seniority,STRUCTURAL,enriched,num__pagerank,0.8615276100893567
