node_id,node_type,degree,bipartite_degree_centrality,pagerank,betweenness_approx,role,job_title,seniority,industry
R_000000,CV,6,0.0024,4.490684226320871e-05,2.1835603262487973e-06,Software Engineer,,Senior,EdTech
R_000001,CV,9,0.0036,6.25922440879754e-05,6.387242291576305e-06,Marketing Manager,,Junior,E-commerce
R_000002,CV,9,0.0036,6.0897443853449135e-05,6.392080059712731e-07,Full Stack Engineer,,Mid,FinTech
R_000003,CV,6,0.0024,4.428298611177796e-05,9.53051427286503e-06,Data Analyst,,Junior,Healthcare
R_000004,CV,5,0.002,3.884241324985627e-05,4.071342120684516e-06,BI Analyst,,Junior,Gaming
R_000005,CV,8,0.0032,5.306608853752031e-05,7.574548576915616e-07,Financial Analyst,,Mid,Travel
R_000006,CV,19,0.0076,0.00011290179203883851,7.000219569013781e-05,Sales Representative,,Junior,Retail
R_000007,CV,4,0.0016,3.2305781481648595e-05,5.800193872844974e-06,Technical Support Specialist,,Junior,Healthcare
R_000008,CV,10,0.004,6.228942073366664e-05,6.180368244183888e-07,Customer Support Specialist,,Junior,Retail
R_000009,CV,9,0.0036,6.122381893330178e-05,6.576521996682162e-05,Backend Engineer,,Mid,Travel
R_000010,CV,8,0.0032,5.494675596371324e-05,3.110917100785196e-06,Sales Representative,,Senior,Logistics
R_000011,CV,8,0.0032,5.689961728664627e-05,4.091857506016113e-06,Backend Engineer,,Junior,Gaming
R_000012,CV,13,0.0052,8.357995309471525e-05,5.211943935837929e-05,Full Stack Engineer,,Mid,E-commerce
R_000013,CV,11,0.0044,7.621918232777806e-05,4.510706816705176e-05,Product Manager,,Senior,Logistics
R_000014,CV,8,0.0032,5.882772165235978e-05,3.4051446324978084e-06,Associate Product Manager,,Senior,Travel
R_000015,CV,3,0.0012,2.7436678506063068e-05,1.0173093848205358e-07,Financial Analyst,,Senior,Healthcare
R_000016,CV,19,0.0076,0.00011369795925058808,8.692031211104345e-05,Account Executive,,Senior,Cybersecurity
R_000017,CV,11,0.0044,6.831421005135388e-05,6.59369020213806e-05,Program Coordinator,,Mid,E-commerce
R_000018,CV,2,0.0008,2.3835180098811696e-05,1.4187396253293788e-08,Marketing Manager,,Junior,Cybersecurity
R_000019,CV,11,0.0044,7.25030221860612e-05,2.4302292754751795e-05,BI Analyst,,Senior,Healthcare
R_000020,CV,9,0.0036,6.334659690140177e-05,3.3826448951720446e-06,Marketing Manager,,Junior,FinTech
R_000021,CV,6,0.0024,4.5816874966371935e-05,4.341490041825715e-06,Marketing Manager,,Junior,Cybersecurity
R_000022,CV,10,0.004,6.680015923340302e-05,7.147404372138929e-05,Full Stack Engineer,,Junior,EdTech
R_000023,CV,7,0.0028,4.824230470745661e-05,1.3035646657037288e-05,Operations Manager,,Senior,SaaS
R_000024,CV,8,0.0032,5.7695198097563346e-05,6.108791001008375e-06,Associate Product Manager,,Senior,EdTech
R_000025,CV,7,0.0028,4.966592693579738e-05,6.092930025634275e-06,BI Analyst,,Senior,EdTech
R_000026,CV,13,0.0052,8.358215697124824e-05,9.210432733157142e-05,Software Engineer,,Mid,E-commerce
R_000027,CV,11,0.0044,7.2411948661766e-05,6.089230140411542e-05,Full Stack Engineer,,Senior,SaaS
R_000028,CV,4,0.0016,3.358578233043717e-05,1.0577612588911213e-07,Account Executive,,Senior,Healthcare
R_000029,CV,11,0.0044,6.716840119215105e-05,4.3292959486095405e-06,Customer Support Specialist,,Senior,EdTech
R_000030,CV,7,0.0028,4.852048741292412e-05,2.242629898498126e-05,Project Manager,,Junior,E-commerce
R_000031,CV,8,0.0032,5.2937475742969885e-05,8.686597385919342e-07,FP&A Analyst,,Junior,FinTech
R_000032,CV,6,0.0024,4.251539879027431e-05,2.0922071039944615e-07,Customer Support Specialist,,Senior,EdTech
R_000033,CV,6,0.0024,4.694833964630441e-05,3.149375924438107e-06,Technical Product Manager,,Mid,Gaming
R_000034,CV,4,0.0016,3.2825833716436605e-05,2.788827823969293e-06,Junior Accountant,,Junior,E-commerce
R_000035,CV,12,0.0048,7.785076651379494e-05,1.5516469535134784e-05,Full Stack Engineer,,Junior,Gaming
R_000036,CV,9,0.0036,5.75749109019801e-05,4.037445329811318e-07,Technical Support Specialist,,Mid,Logistics
R_000037,CV,13,0.0052,8.592496722505191e-05,0.00010832374239574595,Content Marketer,,Mid,SaaS
R_000038,CV,10,0.004,6.629815942584004e-05,1.264030999203857e-05,Backend Engineer,,Senior,Travel
R_000039,CV,9,0.0036,5.768297551883966e-05,7.508937679913401e-06,Customer Support Specialist,,Junior,EdTech
R_000040,CV,7,0.0028,5.096760263350303e-05,2.0833055236235392e-07,Marketing Manager,,Junior,FinTech
R_000041,CV,3,0.0012,2.825401908731676e-05,2.2832350838089888e-06,Data Analyst,,Mid,Travel
R_000042,CV,7,0.0028,5.0200353331135496e-05,1.4627416305928753e-05,Backend Engineer,,Mid,Travel
R_000043,CV,3,0.0012,2.9188629500404202e-05,7.155252206203868e-08,Content Marketer,,Senior,Retail
R_000044,CV,7,0.0028,4.7858160334814674e-05,2.7940545575134386e-07,Project Manager,,Junior,SaaS
R_000045,CV,7,0.0028,4.97647387478047e-05,3.540004659587714e-05,Data Analyst,,Mid,Healthcare
R_000046,CV,6,0.0024,4.702794466539865e-05,1.651230187001953e-05,Technical Product Manager,,Senior,Logistics
R_000047,CV,10,0.004,6.650352569439848e-05,6.880931346399993e-06,BI Analyst,,Junior,E-commerce
R_000048,CV,5,0.002,4.206217732368199e-05,7.880190313720089e-08,Associate Product Manager,,Junior,Travel
R_000049,CV,13,0.0052,8.23450291124312e-05,3.836397976514732e-05,Business Analyst,,Senior,Retail
R_000050,CV,3,0.0012,2.760244617800513e-05,1.2339855896043741e-07,Junior Accountant,,Junior,E-commerce
R_000051,CV,3,0.0012,2.899559548427915e-05,5.3975282799059e-07,Marketing Manager,,Senior,EdTech
R_000052,CV,12,0.0048,7.755512255809238e-05,3.540363641423238e-05,Full Stack Engineer,,Junior,Cybersecurity
R_000053,CV,8,0.0032,5.35488777131508e-05,4.689331733509243e-05,Junior Accountant,,Mid,E-commerce
R_000054,CV,7,0.0028,4.81722488910563e-05,1.1601739575548165e-05,Customer Support Specialist,,Mid,Logistics
R_000055,CV,12,0.0048,7.792544463729238e-05,3.044321610276587e-05,Backend Engineer,,Mid,Logistics
R_000056,CV,11,0.0044,7.684593638030019e-05,1.1041444170337883e-05,Associate Product Manager,,Junior,Gaming
R_000057,CV,4,0.0016,3.362774137486226e-05,1.8125035278001322e-05,Business Development Manager,,Senior,Logistics
R_000058,CV,3,0.0012,2.7792304853780756e-05,1.2598582591277918e-08,Project Manager,,Senior,Travel
R_000059,CV,5,0.002,3.862667834297835e-05,5.848646941763834e-06,Account Executive,,Junior,E-commerce
R_000060,CV,7,0.0028,5.199143252204658e-05,2.422220468128316e-07,Marketing Manager,,Senior,Retail
R_000061,CV,10,0.004,6.872977222227805e-05,1.1138913711033061e-05,Content Marketer,,Mid,Logistics
R_000062,CV,12,0.0048,7.366779636617903e-05,8.23167371043467e-07,Project Manager,,Senior,Retail
R_000063,CV,2,0.0008,2.3370402228925797e-05,8.550104059370512e-09,Business Development Manager,,Senior,FinTech
R_000064,CV,3,0.0012,2.8850265306365178e-05,8.641478808931786e-07,Software Engineer,,Senior,Healthcare
R_000065,CV,3,0.0012,2.8407361544154648e-05,1.3415558810150909e-06,Business Development Manager,,Junior,SaaS
R_000066,CV,1,0.0004,1.7973285313807803e-05,0.0,Marketing Manager,,Senior,E-commerce
R_000067,CV,4,0.0016,3.545695294927048e-05,9.8004758788135e-08,Product Manager,,Mid,Logistics
R_000068,CV,10,0.004,6.392241504681964e-05,3.106874092840082e-05,Project Manager,,Junior,Healthcare
R_000069,CV,3,0.0012,2.8318693885127574e-05,2.9702817683358196e-08,Business Development Manager,,Mid,Logistics
R_000070,CV,9,0.0036,6.166380594154086e-05,1.4737376934796945e-05,Full Stack Engineer,,Junior,EdTech
R_000071,CV,7,0.0028,5.160019212088533e-05,2.437513465851366e-05,Performance Marketer,,Junior,Gaming
R_000072,CV,15,0.006,0.00010073724551133692,3.343339839738522e-05,Product Manager,,Mid,Retail
R_000073,CV,10,0.004,6.221070392166384e-05,1.291831008586083e-05,Customer Success Associate,,Mid,FinTech
R_000074,CV,5,0.002,3.873172974882553e-05,6.894935612118399e-06,Business Development Manager,,Mid,Travel
R_000075,CV,11,0.0044,6.847729896964765e-05,9.352733815666324e-06,Operations Manager,,Mid,Gaming
R_000076,CV,4,0.0016,3.322372991660513e-05,7.473802026100015e-08,Project Manager,,Mid,Gaming
R_000077,CV,12,0.0048,7.342675388733945e-05,0.00013657854431013298,FP&A Analyst,,Mid,Healthcare
R_000078,CV,4,0.0016,3.477498490197655e-05,1.025857451974276e-07,Content Marketer,,Mid,Healthcare
R_000079,CV,13,0.0052,7.930707320825526e-05,2.8551949497968136e-06,Financial Analyst,,Mid,Logistics
R_000080,CV,6,0.0024,4.253529465894274e-05,2.3822531201328028e-05,FP&A Analyst,,Senior,SaaS
R_000081,CV,11,0.0044,6.969957277448844e-05,1.3598711185972552e-05,Operations Manager,,Junior,Gaming
R_000082,CV,6,0.0024,4.256244586018419e-05,1.1105407921924476e-05,Customer Support Specialist,,Mid,E-commerce
R_000083,CV,5,0.002,3.7672591648496134e-05,9.039161920231176e-05,Operations Manager,,Senior,SaaS
R_000084,CV,14,0.0056,8.236007630725822e-05,5.0884056831522455e-05,Customer Success Associate,,Senior,EdTech
R_000085,CV,5,0.002,4.14505381931041e-05,8.675163968132941e-08,Associate Product Manager,,Mid,EdTech
R_000086,CV,5,0.002,3.7895387501815116e-05,2.5156480463657917e-06,Customer Support Specialist,,Mid,E-commerce
R_000087,CV,9,0.0036,6.553163038012591e-05,8.3998231305148e-06,Product Manager,,Senior,Retail
R_000088,CV,8,0.0032,5.27410825723542e-05,5.2602581038119146e-06,Customer Support Specialist,,Mid,FinTech
R_000089,CV,6,0.0024,4.440970934448123e-05,2.454954099148528e-06,Business Development Manager,,Junior,Logistics
R_000090,CV,8,0.0032,5.2860335030593057e-05,2.77656019057606e-06,Customer Success Associate,,Senior,EdTech
R_000091,CV,5,0.002,3.8386317478253e-05,2.965842744721437e-07,Junior Accountant,,Mid,E-commerce
R_000092,CV,3,0.0012,2.92128096077743e-05,2.6311731550027923e-08,Performance Marketer,,Junior,Travel
R_000093,CV,9,0.0036,5.854852467758414e-05,8.012206292155439e-06,Customer Success Associate,,Junior,E-commerce
R_000094,CV,7,0.0028,4.7759053699976636e-05,3.7579106254150884e-06,Program Coordinator,,Mid,Retail
R_000095,CV,4,0.0016,3.409723849315024e-05,2.8347234122565196e-06,Software Engineer,,Junior,FinTech
