node_id,node_type,community_global,role,job_title,seniority,industry
R_000000,CV,0,Software Engineer,,Senior,EdTech
R_000001,CV,5,Marketing Manager,,Junior,E-commerce
R_000002,CV,0,Full Stack Engineer,,Mid,FinTech
R_000003,CV,3,Data Analyst,,Junior,Healthcare
R_000004,CV,3,BI Analyst,,Junior,Gaming
R_000005,CV,1,Financial Analyst,,Mid,Travel
R_000006,CV,4,Sales Representative,,Junior,Retail
R_000007,CV,7,Technical Support Specialist,,Junior,Healthcare
R_000008,CV,7,Customer Support Specialist,,Junior,Retail
R_000009,CV,0,Backend Engineer,,Mid,Travel
R_000010,CV,4,Sales Representative,,Senior,Logistics
R_000011,CV,0,Backend Engineer,,Junior,Gaming
R_000012,CV,0,Full Stack Engineer,,Mid,E-commerce
R_000013,CV,2,Product Manager,,Senior,Logistics
R_000014,CV,2,Associate Product Manager,,Senior,Travel
R_000015,CV,1,Financial Analyst,,Senior,Healthcare
R_000016,CV,4,Account Executive,,Senior,Cybersecurity
R_000017,CV,6,Program Coordinator,,Mid,E-commerce
R_000018,CV,5,Marketing Manager,,Junior,Cybersecurity
R_000019,CV,3,BI Analyst,,Senior,Healthcare
R_000020,CV,5,Marketing Manager,,Junior,FinTech
R_000021,CV,5,Marketing Manager,,Junior,Cybersecurity
R_000022,CV,0,Full Stack Engineer,,Junior,EdTech
R_000023,CV,6,Operations Manager,,Senior,SaaS
R_000024,CV,2,Associate Product Manager,,Senior,EdTech
R_000025,CV,3,BI Analyst,,Senior,EdTech
R_000026,CV,0,Software Engineer,,Mid,E-commerce
R_000027,CV,0,Full Stack Engineer,,Senior,SaaS
R_000028,CV,4,Account Executive,,Senior,Healthcare
R_000029,CV,7,Customer Support Specialist,,Senior,EdTech
R_000030,CV,6,Project Manager,,Junior,E-commerce
R_000031,CV,1,FP&A Analyst,,Junior,FinTech
R_000032,CV,7,Customer Support Specialist,,Senior,EdTech
R_000033,CV,2,Technical Product Manager,,Mid,Gaming
R_000034,CV,1,Junior Accountant,,Junior,E-commerce
R_000035,CV,0,Full Stack Engineer,,Junior,Gaming
R_000036,CV,7,Technical Support Specialist,,Mid,Logistics
R_000037,CV,5,Content Marketer,,Mid,SaaS
R_000038,CV,0,Backend Engineer,,Senior,Travel
R_000039,CV,7,Customer Support Specialist,,Junior,EdTech
R_000040,CV,5,Marketing Manager,,Junior,FinTech
R_000041,CV,3,Data Analyst,,Mid,Travel
R_000042,CV,0,Backend Engineer,,Mid,Travel
R_000043,CV,5,Content Marketer,,Senior,Retail
R_000044,CV,6,Project Manager,,Junior,SaaS
R_000045,CV,3,Data Analyst,,Mid,Healthcare
R_000046,CV,2,Technical Product Manager,,Senior,Logistics
R_000047,CV,3,BI Analyst,,Junior,E-commerce
R_000048,CV,2,Associate Product Manager,,Junior,Travel
R_000049,CV,3,Business Analyst,,Senior,Retail
R_000050,CV,1,Junior Accountant,,Junior,E-commerce
R_000051,CV,5,Marketing Manager,,Senior,EdTech
R_000052,CV,0,Full Stack Engineer,,Junior,Cybersecurity
R_000053,CV,1,Junior Accountant,,Mid,E-commerce
R_000054,CV,7,Customer Support Specialist,,Mid,Logistics
R_000055,CV,0,Backend Engineer,,Mid,Logistics
R_000056,CV,2,Associate Product Manager,,Junior,Gaming
R_000057,CV,4,Business Development Manager,,Senior,Logistics
R_000058,CV,6,Project Manager,,Senior,Travel
R_000059,CV,4,Account Executive,,Junior,E-commerce
R_000060,CV,5,Marketing Manager,,Senior,Retail
R_000061,CV,5,Content Marketer,,Mid,Logistics
R_000062,CV,6,Project Manager,,Senior,Retail
R_000063,CV,4,Business Development Manager,,Senior,FinTech
R_000064,CV,0,Software Engineer,,Senior,Healthcare
R_000065,CV,4,Business Development Manager,,Junior,SaaS
R_000066,CV,5,Marketing Manager,,Senior,E-commerce
R_000067,CV,2,Product Manager,,Mid,Logistics
R_000068,CV,6,Project Manager,,Junior,Healthcare
R_000069,CV,4,Business Development Manager,,Mid,Logistics
R_000070,CV,0,Full Stack Engineer,,Junior,EdTech
R_000071,CV,5,Performance Marketer,,Junior,Gaming
R_000072,CV,2,Product Manager,,Mid,Retail
R_000073,CV,7,Customer Success Associate,,Mid,FinTech
R_000074,CV,4,Business Development Manager,,Mid,Travel
R_000075,CV,6,Operations Manager,,Mid,Gaming
R_000076,CV,6,Project Manager,,Mid,Gaming
R_000077,CV,1,FP&A Analyst,,Mid,Healthcare
R_000078,CV,5,Content Marketer,,Mid,Healthcare
R_000079,CV,1,Financial Analyst,,Mid,Logistics
R_000080,CV,1,FP&A Analyst,,Senior,SaaS
R_000081,CV,6,Operations Manager,,Junior,Gaming
