resume_id,n_skills,n_skill_communities,dominant_skill_community,dominant_skill_community_count,dominant_skill_community_share,skill_community_entropy,skill_community_entropy_normalized
R_000000,7,1,3,7,1.0,-0.0,0.0
R_000001,5,1,0,5,1.0,-0.0,0.0
R_000002,6,1,3,6,1.0,-0.0,0.0
R_000003,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000004,5,1,6,5,1.0,-0.0,0.0
R_000005,7,4,7,3,0.42857142857142855,1.277034259466139,0.9211854965885543
R_000006,7,1,1,7,1.0,-0.0,0.0
R_000007,5,1,4,5,1.0,-0.0,0.0
R_000008,8,1,4,8,1.0,-0.0,0.0
R_000009,7,1,3,7,1.0,-0.0,0.0
R_000010,7,1,1,7,1.0,-0.0,0.0
R_000011,8,1,3,8,1.0,-0.0,0.0
R_000012,8,1,3,8,1.0,-0.0,0.0
R_000013,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000014,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000015,5,3,7,3,0.6,0.9502705392332347,0.8649735207179272
R_000016,8,1,1,8,1.0,-0.0,0.0
R_000017,7,1,2,7,1.0,-0.0,0.0
R_000018,5,1,0,5,1.0,-0.0,0.0
R_000019,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000020,6,1,0,6,1.0,-0.0,0.0
R_000021,8,1,0,8,1.0,-0.0,0.0
R_000022,7,1,3,7,1.0,-0.0,0.0
R_000023,6,1,2,6,1.0,-0.0,0.0
R_000024,5,1,5,5,1.0,-0.0,0.0
R_000025,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000026,8,1,3,8,1.0,-0.0,0.0
R_000027,8,1,3,8,1.0,-0.0,0.0
R_000028,6,1,1,6,1.0,-0.0,0.0
R_000029,8,1,4,8,1.0,-0.0,0.0
R_000030,7,1,2,7,1.0,-0.0,0.0
R_000031,8,3,7,5,0.625,0.9002560512685369,0.8194483718728035
R_000032,5,1,4,5,1.0,-0.0,0.0
R_000033,7,1,5,7,1.0,-0.0,0.0
R_000034,6,4,2,2,0.3333333333333333,1.3296613488547582,0.9591479170272448
R_000035,7,1,3,7,1.0,-0.0,0.0
R_000036,8,1,4,8,1.0,-0.0,0.0
R_000037,8,1,0,8,1.0,-0.0,0.0
R_000038,8,1,3,8,1.0,-0.0,0.0
R_000039,8,1,4,8,1.0,-0.0,0.0
R_000040,8,1,0,8,1.0,-0.0,0.0
R_000041,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000042,8,1,3,8,1.0,-0.0,0.0
R_000043,5,1,0,5,1.0,-0.0,0.0
R_000044,7,1,2,7,1.0,-0.0,0.0
R_000045,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000046,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000047,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000048,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000049,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000050,5,4,2,2,0.4,1.3321790402101223,0.9609640474436812
R_000051,6,1,0,6,1.0,-0.0,0.0
R_000052,8,1,3,8,1.0,-0.0,0.0
R_000053,7,3,7,4,0.5714285714285714,0.9556998911125343,0.8699155297736259
R_000054,5,1,4,5,1.0,-0.0,0.0
R_000055,7,1,3,7,1.0,-0.0,0.0
R_000056,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000057,5,1,1,5,1.0,-0.0,0.0
R_000058,5,1,2,5,1.0,-0.0,0.0
R_000059,5,1,1,5,1.0,-0.0,0.0
R_000060,6,1,0,6,1.0,-0.0,0.0
R_000061,7,1,0,7,1.0,-0.0,0.0
R_000062,8,1,2,8,1.0,-0.0,0.0
R_000063,5,1,1,5,1.0,-0.0,0.0
R_000064,7,1,3,7,1.0,-0.0,0.0
R_000065,5,1,1,5,1.0,-0.0,0.0
R_000066,5,1,0,5,1.0,-0.0,0.0
R_000067,5,1,5,5,1.0,-0.0,0.0
R_000068,8,1,2,8,1.0,-0.0,0.0
R_000069,5,1,1,5,1.0,-0.0,0.0
R_000070,8,1,3,8,1.0,-0.0,0.0
R_000071,7,1,0,7,1.0,-0.0,0.0
R_000072,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000073,8,1,4,8,1.0,-0.0,0.0
R_000074,5,1,1,5,1.0,-0.0,0.0
R_000075,7,1,2,7,1.0,-0.0,0.0
R_000076,6,1,2,6,1.0,-0.0,0.0
R_000077,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000078,6,1,0,6,1.0,-0.0,0.0
R_000079,7,4,7,4,0.5714285714285714,1.1537419427010902,0.8322488896002307
R_000080,7,3,7,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000081,6,1,2,6,1.0,-0.0,0.0
R_000082,5,1,4,5,1.0,-0.0,0.0
R_000083,5,1,2,5,1.0,-0.0,0.0
R_000084,7,1,4,7,1.0,-0.0,0.0
R_000085,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000086,6,1,4,6,1.0,-0.0,0.0
R_000087,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000088,5,1,4,5,1.0,-0.0,0.0
R_000089,6,1,1,6,1.0,-0.0,0.0
R_000090,6,1,4,6,1.0,-0.0,0.0
R_000091,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000092,5,1,0,5,1.0,-0.0,0.0
R_000093,7,1,4,7,1.0,-0.0,0.0
R_000094,7,1,2,7,1.0,-0.0,0.0
R_000095,5,1,3,5,1.0,-0.0,0.0
R_000096,7,1,4,7,1.0,-0.0,0.0
R_000097,6,1,1,6,1.0,-0.0,0.0
R_000098,7,4,7,4,0.5714285714285714,1.1537419427010902,0.8322488896002307
R_000099,5,1,0,5,1.0,-0.0,0.0
R_000100,6,3,7,3,0.5,1.0114042647073518,0.920619835714305
R_000101,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000102,5,1,7,5,1.0,-0.0,0.0
R_000103,7,1,4,7,1.0,-0.0,0.0
R_000104,5,1,3,5,1.0,-0.0,0.0
R_000105,8,4,7,4,0.5,1.2130075659799042,0.875
R_000106,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000107,6,1,4,6,1.0,-0.0,0.0
R_000108,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000109,8,1,3,8,1.0,-0.0,0.0
R_000110,7,3,7,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000111,5,1,1,5,1.0,-0.0,0.0
R_000112,8,1,4,8,1.0,-0.0,0.0
R_000113,6,1,4,6,1.0,-0.0,0.0
R_000114,5,1,0,5,1.0,-0.0,0.0
R_000115,7,1,3,7,1.0,-0.0,0.0
R_000116,7,1,0,7,1.0,-0.0,0.0
R_000117,6,1,3,6,1.0,-0.0,0.0
R_000118,8,1,4,8,1.0,-0.0,0.0
R_000119,6,1,0,6,1.0,-0.0,0.0
R_000120,7,1,1,7,1.0,-0.0,0.0
R_000121,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000122,5,1,5,5,1.0,-0.0,0.0
R_000123,6,1,5,6,1.0,-0.0,0.0
R_000124,6,1,5,6,1.0,-0.0,0.0
R_000125,5,2,7,4,0.8,0.5004024235381879,0.7219280948873623
R_000126,8,1,2,8,1.0,-0.0,0.0
R_000127,5,1,0,5,1.0,-0.0,0.0
R_000128,6,1,2,6,1.0,-0.0,0.0
R_000129,6,1,2,6,1.0,-0.0,0.0
R_000130,5,3,2,2,0.4,1.0549201679861442,0.9602297178607612
R_000131,5,2,5,4,0.8,0.5004024235381879,0.7219280948873623
R_000132,7,1,4,7,1.0,-0.0,0.0
R_000133,7,1,4,7,1.0,-0.0,0.0
R_000134,8,1,2,8,1.0,-0.0,0.0
R_000135,5,1,3,5,1.0,-0.0,0.0
R_000136,5,1,1,5,1.0,-0.0,0.0
R_000137,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000138,6,2,7,4,0.6666666666666666,0.6365141682948128,0.9182958340544894
R_000139,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000140,8,1,4,8,1.0,-0.0,0.0
R_000141,5,1,1,5,1.0,-0.0,0.0
R_000142,6,4,7,3,0.5,1.242453324894,0.8962406251802889
R_000143,5,1,4,5,1.0,-0.0,0.0
R_000144,6,1,3,6,1.0,-0.0,0.0
R_000145,7,1,2,7,1.0,-0.0,0.0
R_000146,6,1,3,6,1.0,-0.0,0.0
R_000147,8,1,2,8,1.0,-0.0,0.0
R_000148,8,1,4,8,1.0,-0.0,0.0
R_000149,6,1,5,6,1.0,-0.0,0.0
R_000150,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000151,8,1,1,8,1.0,-0.0,0.0
R_000152,5,1,0,5,1.0,-0.0,0.0
R_000153,8,1,3,8,1.0,-0.0,0.0
R_000154,6,1,1,6,1.0,-0.0,0.0
R_000155,7,1,3,7,1.0,-0.0,0.0
R_000156,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000157,6,4,2,2,0.3333333333333333,1.3296613488547582,0.9591479170272448
R_000158,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000159,8,1,2,8,1.0,-0.0,0.0
R_000160,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000161,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000162,8,1,4,8,1.0,-0.0,0.0
R_000163,8,1,2,8,1.0,-0.0,0.0
R_000164,6,1,2,6,1.0,-0.0,0.0
R_000165,7,1,3,7,1.0,-0.0,0.0
R_000166,8,2,6,7,0.875,0.37677016125643675,0.5435644431995964
R_000167,5,1,0,5,1.0,-0.0,0.0
R_000168,8,1,1,8,1.0,-0.0,0.0
R_000169,6,1,3,6,1.0,-0.0,0.0
R_000170,5,1,2,5,1.0,-0.0,0.0
R_000171,8,1,1,8,1.0,-0.0,0.0
R_000172,5,1,5,5,1.0,-0.0,0.0
R_000173,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000174,6,1,1,6,1.0,-0.0,0.0
R_000175,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000176,6,4,7,3,0.5,1.242453324894,0.8962406251802889
R_000177,5,4,7,2,0.4,1.3321790402101223,0.9609640474436812
R_000178,7,2,5,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000179,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000180,6,1,2,6,1.0,-0.0,0.0
R_000181,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000182,8,1,0,8,1.0,-0.0,0.0
R_000183,6,1,1,6,1.0,-0.0,0.0
R_000184,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000185,6,2,6,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000186,6,1,3,6,1.0,-0.0,0.0
R_000187,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000188,8,3,7,5,0.625,0.9002560512685369,0.8194483718728035
R_000189,7,1,0,7,1.0,-0.0,0.0
R_000190,7,1,1,7,1.0,-0.0,0.0
R_000191,8,1,4,8,1.0,-0.0,0.0
R_000192,7,1,1,7,1.0,-0.0,0.0
R_000193,6,1,2,6,1.0,-0.0,0.0
R_000194,5,1,5,5,1.0,-0.0,0.0
R_000195,7,1,2,7,1.0,-0.0,0.0
R_000196,6,3,6,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000197,5,2,6,4,0.8,0.5004024235381879,0.7219280948873623
R_000198,5,1,3,5,1.0,-0.0,0.0
R_000199,5,1,0,5,1.0,-0.0,0.0
R_000200,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000201,8,1,2,8,1.0,-0.0,0.0
R_000202,8,3,6,6,0.75,0.7356219397587946,0.6695919455357792
R_000203,7,2,6,6,0.8571428571428571,0.410116318288409,0.5916727785823274
R_000204,7,3,6,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000205,7,1,1,7,1.0,-0.0,0.0
R_000206,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000207,7,3,7,4,0.5714285714285714,0.9556998911125343,0.8699155297736259
R_000208,6,1,4,6,1.0,-0.0,0.0
R_000209,6,1,4,6,1.0,-0.0,0.0
R_000210,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000211,8,1,0,8,1.0,-0.0,0.0
R_000212,7,3,7,5,0.7142857142857143,0.796311640173813,0.7248340915057598
R_000213,7,1,1,7,1.0,-0.0,0.0
R_000214,6,1,3,6,1.0,-0.0,0.0
R_000215,6,4,7,3,0.5,1.242453324894,0.8962406251802889
R_000216,7,1,2,7,1.0,-0.0,0.0
R_000217,8,1,4,8,1.0,-0.0,0.0
R_000218,5,1,3,5,1.0,-0.0,0.0
R_000219,7,1,5,7,1.0,-0.0,0.0
R_000220,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000221,5,3,2,2,0.4,1.0549201679861442,0.9602297178607612
R_000222,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
R_000223,6,3,7,4,0.6666666666666666,0.8675632284814612,0.7896900821428474
R_000224,8,1,0,8,1.0,-0.0,0.0
R_000225,8,4,7,4,0.5,1.2130075659799042,0.875
R_000226,7,1,0,7,1.0,-0.0,0.0
R_000227,8,1,3,8,1.0,-0.0,0.0
R_000228,6,2,5,5,0.8333333333333334,0.45056120886630463,0.6500224216483541
R_000229,6,1,1,6,1.0,-0.0,0.0
R_000230,5,1,3,5,1.0,-0.0,0.0
R_000231,6,1,1,6,1.0,-0.0,0.0
R_000232,7,1,0,7,1.0,-0.0,0.0
R_000233,5,1,0,5,1.0,-0.0,0.0
R_000234,8,2,5,7,0.875,0.37677016125643675,0.5435644431995964
