resume_id,job_id,semantic_score,semantic_rank,katz_score,katz_rank,selected_k,prediction_method
R_003561,J_000000,0.797736644744873,31,0.003779217938760334,23,50,semantic_katz_consensus
R_006124,J_000000,0.7964996099472046,33,0.003752139945290755,25,50,semantic_katz_consensus
R_000084,J_000001,0.8655336499214172,6,0.0033071163588001785,22,50,semantic_katz_consensus
R_002125,J_000001,0.8150216937065125,38,0.003431409533105909,14,50,semantic_katz_consensus
R_002746,J_000001,0.8440961241722107,22,0.0029677191189998627,49,50,semantic_katz_consensus
R_003831,J_000001,0.8051734566688538,47,0.0036939406822471465,7,50,semantic_katz_consensus
R_005014,J_000001,0.8052883744239807,46,0.0031824099997767538,28,50,semantic_katz_consensus
R_008311,J_000001,0.8515328764915466,16,0.003423057414633458,15,50,semantic_katz_consensus
R_008358,J_000001,0.8582279682159424,10,0.003454960768106632,12,50,semantic_katz_consensus
R_004892,J_000002,0.8666799664497375,39,0.0033620987151747233,40,50,semantic_katz_consensus
R_006353,J_000002,0.8755539655685425,17,0.0033445385851036047,43,50,semantic_katz_consensus
R_005194,J_000003,0.8376067876815796,9,0.0029047535433343167,36,50,semantic_katz_consensus
R_002249,J_000004,0.8839843273162842,30,0.00422220512535327,6,50,semantic_katz_consensus
R_008826,J_000004,0.8829279541969299,34,0.0032573134997652643,20,50,semantic_katz_consensus
R_008287,J_000005,0.7301695942878723,49,0.0037166803096578965,30,50,semantic_katz_consensus
R_009784,J_000005,0.8118669986724854,42,0.0035485458575560264,35,50,semantic_katz_consensus
R_008030,J_000006,0.8115353584289551,46,0.0039322270835610035,33,50,semantic_katz_consensus
R_001247,J_000007,0.8003983497619629,50,0.004215063037343071,12,50,semantic_katz_consensus
R_005288,J_000008,0.8911309838294983,1,0.0034234410756603228,11,50,semantic_katz_consensus
R_009833,J_000008,0.8217151761054993,47,0.0029481373508765184,37,50,semantic_katz_consensus
R_003175,J_000009,0.8227675557136536,35,0.003260117221716634,21,50,semantic_katz_consensus
R_006396,J_000011,0.8097407221794128,39,0.004242554215530344,3,50,semantic_katz_consensus
R_007520,J_000011,0.8116543889045715,37,0.0037401872591223753,16,50,semantic_katz_consensus
R_008834,J_000011,0.8904045224189758,5,0.003601536099569175,22,50,semantic_katz_consensus
R_006419,J_000012,0.8674811720848083,45,0.0033704508336471744,46,50,semantic_katz_consensus
R_008166,J_000013,0.8563456535339355,29,0.003389176708644302,26,50,semantic_katz_consensus
R_003017,J_000014,0.7358107566833496,48,0.004002718408263613,18,50,semantic_katz_consensus
R_003766,J_000014,0.8157450556755066,11,0.003857308821727079,21,50,semantic_katz_consensus
R_000363,J_000015,0.8250675797462463,47,0.003899910545370136,30,50,semantic_katz_consensus
R_003238,J_000015,0.8627890348434448,22,0.003919448027957237,29,50,semantic_katz_consensus
R_007839,J_000015,0.8243441581726074,48,0.004153307492139779,15,50,semantic_katz_consensus
R_008030,J_000015,0.878143310546875,15,0.003691196007677435,45,50,semantic_katz_consensus
