split,method,threshold_from_validation,roc_auc,average_precision,precision,recall,f1
validation,Semantic cosine,0.5488626184463501,0.8622918222222222,0.8362779604863896,0.771132280236344,0.8526666666666667,0.8098524662825303
validation,Preferential Attachment,18.0,0.5290800355555555,0.5158963190406811,0.501002004008016,1.0,0.6675567423230975
validation,CN3 bipartite adapté,1.0,0.8936044622222221,0.8523155837626689,0.8922851041110518,0.8913333333333333,0.8918089647812166
validation,Adamic-Adar bipartite adapté,0.2969742043733701,0.8937104444444444,0.8527759346866799,0.8924042183954078,0.8913333333333333,0.891868454405977
validation,Katz tronqué L=5,5.5003026165908275e-05,0.9419311111111112,0.8955950028082202,0.888836160873176,0.9989333333333333,0.9406742419486471
test,Semantic cosine,0.5488626184463501,0.8676272177777777,0.840386137126912,0.7848350566223535,0.8501333333333333,0.8161802355350742
test,Preferential Attachment,18.0,0.5253032088888889,0.5191502391226321,0.500533902829685,1.0,0.6671410780999822
test,CN3 bipartite adapté,1.0,0.8959144533333334,0.8591597244877639,0.895096463022508,0.8908,0.8929430633520449
test,Adamic-Adar bipartite adapté,0.2969742043733701,0.8962567555555554,0.8610630725359962,0.895096463022508,0.8908,0.8929430633520449
test,Katz tronqué L=5,5.5003026165908275e-05,0.9445353155555557,0.9032518768787314,0.895170929954578,0.9985333333333334,0.9440312618177235
